PRIMARY_NAME,LATITUDE83,LONGITUDE83,mineral
BERRY LANE PROPERTY 3,40.711782,-74.069147,Chromium
BERRY LANE PROPERTY 4/GARFIELD JUNKYARD,40.711074,-74.069415,Chromium
BERRY LANE PROPERTY 5/HIT OR MISS,40.71073,-74.069693,Chromium
BERRY LANE PROPERTY 6/MA & OK,40.71165,-74.06922,Chromium
BERRY LANE PROPERTY 7/PURPLE FISH,40.71228,-74.06877,Chromium
BERRY LANE PROPERTY 8/JR TRANSPORTATION,40.71256,-74.06858,Chromium
BOSTON EAST,42.37292,-71.04123,Tin
RALPH HERMAN FARM,44.967228,-85.654306,Arsenic
DISCO ALUMINUM,40.62248,-74.41237,Aluminum
DISCO ALUMINUM 524-532 SOUTH AVENUE,40.62214,-74.41293,Aluminum
DISCO ALUMINUM 539 EAST 6TH STREET,40.6217,-74.412142,Aluminum
DISCO ALUMINUM 529 EAST 6TH STREET,40.62171,-74.4121,Aluminum
DISCO ALUMINUM LOT 8,40.622695,-74.411674,Aluminum
JENNY LIND EQUALIZATION BASIN,35.330346,-94.414067,Zinc
DISCO ALUMINUM 535 EAST 6TH STREET,40.621753,-74.412053,Aluminum
843 US HIGHWAY 441,26.809418,-80.653328,Arsenic
PAINTED HILLS NATURAL RESOURCES PARK,32.235535,-110.989549,Tungsten
124 WOODLAWN AVENUE,40.70255,-74.08531,Chromium
128 WOODLAWN AVENUE,40.70266,-74.08547,Chromium
WATERFRONT PARCEL 3 BROWNFIELDS SITE,42.85076,-72.55598,Arsenic
JEFFERSON-GENESEE SITE 2,42.89638,-78.853494,Tin
SAFETY DISPOSAL SYSTEMS STORAGE PROPERTIES,32.879,-81.1074,Arsenic
SAFETY DISPOSAL SYSTEMS STORAGE PROPERTIES,32.879,-81.1074,Chromium
NASHUA RIVER RAIL TRAIL PARKING LOT,42.565284,-71.587957,Chromium
THE ARGO MINE,40.119,-105.39531,Fluorspar
DEEP WATER MARINA,41.45588,-82.7185,Arsenic
TRI CHEM,41.04753,-73.5373,Arsenic
SEABOARD EQUITIES,41.0479,-73.53606,Arsenic
224-226 WEST 2ND STREET (CLUSTER 3),42.4966,-92.34372,Aluminum
MULBERRY MODOT,39.1058,-94.5999,Arsenic
"SAND SPRINGS KEYSTONE CORRIDOR REDEVELOPMENT, AREA",36.24523,-96.12366,Zinc
1203 & 1205 SOUTH INDUSTRIAL BOULEVARD,32.764325,-96.801485,Aluminum
WICHITA 9TH ST CORRIDOR- PARCEL 138376,38.47723,-101.35166,Tin
BECHTEL MCLAUGHLIN INC,41.42372,-82.67963,Chromium
BECHTEL MCLAUGHLIN INC,41.42372,-82.67963,Nickel
BECHTEL MCLAUGHLIN INC,41.42372,-82.67963,Zinc
HELMICK 10TH STREET PROPERTY - PARCEL 137,39.47177,-80.15086,Arsenic
HELMICK 10TH STREET PROPERTY - PARCEL 156,39.47177,-80.15086,Arsenic
HELMICK 10TH STREET PROPERTY - PARCEL 145,39.47177,-80.15086,Arsenic
HELMICK 10TH STREET PROPERTY - PARCEL 147,39.47177,-80.15086,Arsenic
HELMICK 10TH STREET PROPERTY - PARCEL 156,39.47177,-80.15086,Arsenic
HELMICK 10TH STREET PROPERTY - PARCEL 158,39.47177,-80.15086,Arsenic
HELMICK 10TH STREET PROPERTY - PARCEL 161,39.47177,-80.15086,Arsenic
BERWICK HOTEL,43.60668,-72.9776,Arsenic
BERWICK HOTEL,43.60668,-72.9776,Manganese
MOOSA HOSPITAL,30.4977,-92.40493,Copper
231 N. CONCORD EXCHANGE,44.8942,-93.0359,Tin
BAKER HEATING AND SHEET 07-09,41.50618,-87.62738,Tin
BAKER HEATING AND SHEET 010 & 11,41.50618,-87.62788,Tin
FLINTKOTE PROPERTY - 105,41.49993,-87.62099,Arsenic
WOODLAWN PARK,41.761847,-87.595744,Aluminum
FLINTKOTE PROPERTY - 104,41.49993,-87.62099,Arsenic
FLINTKOTE PROPERTY - 103,41.49993,-87.62099,Arsenic
FLINTKOTE PROPERTY -102,41.49993,-87.62099,Arsenic
MORETZ INC,35.73336,-81.32664,Nickel
MILLER PROPERTY (G3LTNYOO),40.48254,-75.51824,Chromium
"HERMANN ELECTRIC LIGHT PLANT, FORMER POWER BLDG",38.70497,-91.43306,Tin
HISTORIC PRESERVATION OF HERMANN,38.7051,-91.4331,Tin
HOPLAND BAND OF POMO INDIANS,38.98026,-123.05893,Arsenic
CRAFT,48.11341,-123.14603,Arsenic
YANKEE OIL,42.11272,-72.60033,Magnesium
ROSE EXTERMINATOR COMPANY WAREHOUSE,39.174662,-84.45534,Arsenic
BARKERS CREEK INDUSTRIAL PARK,37.529939,-81.373739,Arsenic
SAMARIUS INDUSTRIES,41.31724,-73.09157,Chromium
113 CANAL STREET,41.3169,-73.09122,Chromium
MODERN ELECTROPLATING CO INC,42.32885,-71.08517,Aluminum
HARBISON WALKER,43.940516,-86.416498,Magnesium
FORMER NORFOLK & WESTERN RAILROAD FACILITY,41.760213,-86.809155,Nickel
319 3RD STREET,38.58789,-121.51014,Chromium
319 3RD STREET,38.58789,-121.51014,Nickel
13035 KERCHEVAL AVENUE,42.37595,-82.9553,Tin
21 CALLER STREET,42.52472,-70.92158,Arsenic
21 CALLER STREET,42.52472,-70.92158,Chromium
CITY OF PERRY (1),41.842158,-94.136103,Arsenic
CITY OF PERRY (2),41.842375,-94.122067,Arsenic
CITY OF PERRY (3),41.842878,-94.111761,Arsenic
JORDAN VALLEY WEST MEADOWS SITE #1,37.209996,-93.296491,Arsenic
HELMICK 10TH STREET PROPERTY-PARCEL 148.1 G3PQNY00,39.47177,-80.15086,Arsenic
PARK CENTRAL FLEA MARKET,37.2123,-93.2926,Arsenic
JORDAN VALLEY WEST MEADOWS SITE 2,37.2102,-93.3034,Arsenic
JORDAN VALLEY WEST MEADOWS SITE 2,37.2102,-93.3034,Tin
JORDAN VALLEY WEST MEADOWS SITE 3,37.21557,-93.2963,Arsenic
OZBUN PROPERTY,36.97309,-93.72109,Zinc
FLATS EAST BANK NEIGHBORHOOD,41.501406,-81.703713,Arsenic
FLATS EAST BANK NEIGHBORHOOD,41.501406,-81.703713,Manganese
MOUNTAIN ROAD FIRING RANGE TARGET PITS 2 & 3,42.20531,-72.66893,Antimony
MOUNTAIN ROAD FIRING RANGE TARGET PITS 2 & 3,42.20531,-72.66893,Arsenic
GOODWILL INDUSTRIES OF SW MICHIGAN,42.31958,-85.58077,Aluminum
GOODWILL INDUSTRIES OF SW MICHIGAN,42.31958,-85.58077,Zinc
NORTHVIEW APARTMENTS,32.38993,-94.87503,Arsenic
50 WEST MICHIGAN AVENUE,42.320543,-85.183736,Tin
KEYSTONE SENECA WIRE CLOTH COMPANY,31.599422,-90.43559,Aluminum
FORMER STRIKETOWN BOWLING CENTER,43.674903,-85.483406,Zinc
VACANT LOT ADJACENT TO FORMER GRAND HOTEL SITE (PIN 8913-26-201-005),42.498911,-92.347495,Tin
ART ALLEY SITE,30.43551,-84.2891,Arsenic
WAGONER DUMP GROUND,35.973475,-95.393875,Tin
12TH STREET AND MINOR AVE PARCEL 73 G3XCNY00,39.465876,-80.153296,Arsenic
12TH STREET AND MINOR AVE PARCEL 73 G3XCNY00,39.465876,-80.153296,Chromium
12TH STREET AND MINOR AVE PARCEL 74 G3XDNY00,39.466413,-80.150373,Arsenic
12TH STREET AND MINOR AVE PARCEL 74 G3XDNY00,39.466413,-80.150373,Chromium
12TH STREET AND MINOR AVE PARCEL 74.4 G3XENY00,39.467754,-80.148845,Arsenic
12TH STREET AND MINOR AVE PARCEL 74.4 G3XENY00,39.467754,-80.148845,Chromium
1630 N. 31ST ST,43.05217,-87.95289,Arsenic
"FOREFRONT PROPERTIES, LTD. 888 WOOSTER RD.",41.01102,-81.62175,Arsenic
SELMA HOUSING DEVELOPMENT CORPORATION,32.40696,-87.01835,Copper
MULTI METALS INC. PROPERTY,31.341827,-110.960724,Arsenic
OKC HOUSING AUTHORITY - MLK AVENUE,35.49582,-97.47672,Arsenic
JORDAN VALLEY WEST MEADOWS SITE #4,37.2102,-93.3034,Arsenic
TRANSIT PARK,33.21363,-97.12357,Arsenic
JVIC SOLID STATES CIRCUITS,37.21436,-93.29228,Arsenic
1228 S. MAIN STREET,41.24974,-95.85177,Arsenic
SPRINGFIELD MILL AND LUMBER,37.21745,-93.29307,Arsenic
"EPEC POLYMERS, INC.",42.87131,-87.84815,Arsenic
FT PIERCE UTILITIES AUTHORITY,27.450654,-80.324207,Aluminum
FT PIERCE UTILITIES AUTHORITY,27.450654,-80.324207,Arsenic
FT PIERCE UTILITIES AUTHORITY,27.450654,-80.324207,Chromium
FT PIERCE UTILITIES AUTHORITY,27.450654,-80.324207,Manganese
FT PIERCE UTILITIES AUTHORITY,27.450654,-80.324207,Vanadium
FORMER SPRINGSTEEN PLANT PROPERTY,34.7049,-81.20605,Chromium
FORMER SPRINGSTEEN PLANT PROPERTY,34.7049,-81.20605,Copper
ATLAS INDUSTRIAL PARK,46.681582,-92.22652,Arsenic
ATLAS INDUSTRIAL PARK,46.681582,-92.22652,Chromium
ATLAS INDUSTRIAL PARK,46.681582,-92.22652,Copper
ATLAS INDUSTRIAL PARK,46.681582,-92.22652,Zinc
HAYES VENDING,37.22949,-93.29313,Tin
RAILROAD AVENUE SITE,28.35301,-80.73338,Arsenic
VALERIA BOSS SALON,37.20978,-93.29074,Arsenic
VALERIA BOSS SALON,37.20978,-93.29074,Beryllium
FORMER ESSEX WIRE SITE,41.93563,-85.62974,Copper
2934 THOMAS ST,38.64377,-90.218841,Platinum
FISHERVILLE MILL,42.177345,-71.690176,Aluminum
"2926 THOMAS STREET, NEW",38.64377,-90.21854,Platinum
2918 THOMAS ST,38.64377,-90.21841,Platinum
2914 THOMAS ST,38.643579,-90.218308,Platinum
"ALBAN TRACTOR CO., INC.",38.83881,-76.862,Platinum
MILLERS FALLS PAPER MILL PROPERTY,42.57892,-72.4873,Arsenic
GRO-MOR FERTILIZER PLANT SITE,28.013056,-82.12329,Arsenic
GRO-MOR FERTILIZER PLANT SITE,28.013056,-82.12329,Chromium
CHIC-1114 4TH AVE.,41.257865,-95.860604,Arsenic
