name,facility_a,Latitude,longitude,Manufacturing_Products,associated_product_type
"H T H, INC.","711 JACKSON AVENUE, WINTER PARK, FL, 32789",-10.349,-79.06,MAGNETIC SIGNS,MAGNETS
"VILLAGE LIGHTHOUSE, INC.","6165 SANTA MONICA BOULEVARD, LOS ANGELES, CA, 90038",-3.514,-108.393,MAGNETS,MAGNETS
"STOUSE, INC.","300 NEW CENTURY PARKWAY, NEW CENTURY, KS, 66031",-1.17,-90.683,MAGNETS,MAGNETS
"POTTER MFG. CO., INC.","1010 ARROWSMITH STREET, EUGENE, OR, 97402",6.315,-109.193,MAGNETS,MAGNETS
COLORTONE DECAL CO.,"3750 NOAKES STREET, LOS ANGELES, CA, 90023",-3.609,-108.321,MAGNETS,MAGNETS
DIMENSIONAL GRAPHICS CORP.,"325 NORTH JACKSON AVENUE, MASON CITY, IA, 50401",3.197,-89.582,MAGNETS,MAGNETS
HANS MFG. CORP.,"5 TERRITORIAL COURT, BOLINGBROOK, IL, 60440",1.926,-85.946,MAGNETIC CLIPS,MAGNETS
ADVANCE DIGITAL & SCREEN PRINTING,"850 SCIENCE BOULEVARD, COLUMBUS, OH, 43230",0.682,-82.042,TRUCK LETTERING MAGNETS,MAGNETS
KRAFTWORK CUSTOM DESIGN,"182 HOMECREST AVENUE, TRENTON, NJ, 08638",1.993,-76.43,MAGNETIC,MAGNETS
NICOLLET TECHNOLOGIES CORP.,"711 15TH AVENUE NE, MINNEAPOLIS, MN, 55413",5.051,-89.672,MAGNETIC COMPONENTS,MAGNETS
"NOVA MAGNETICS, INC.","1101 EAST WALNUT STREET, GARLAND, TX, 75040",-7.084,-92.018,TRANSFORMERS,TRANSFORMERS
"NOVA MAGNETICS, INC.","1101 EAST WALNUT STREET, GARLAND, TX, 75040",-7.084,-92.018,MAGNETIC COMPONENTS,MAGNETS
"HOUSTON TRANSFORMER CO., LTD.","5725 BRAXTON DRIVE, HOUSTON, TX, 77036",-10.29,-91.147,TRANSFORMERS,TRANSFORMERS
"HOUSTON TRANSFORMER CO., LTD.","5725 BRAXTON DRIVE, HOUSTON, TX, 77036",-10.29,-91.147,RELATED MAGNETIC DEVICES,MAGNETS
JACKSON TRANSFORMER CO.,"4709 WEST CAYUGA STREET, TAMPA, FL, 33614",-11.115,-79.924,TRANSFORMERS,TRANSFORMERS
ASSOCIATED COMPONENTS TECHNOLOGY,"13932 NAUTILUS DRIVE, GARDEN GROVE, CA, 92843",-3.892,-108.186,MAGNETIC PRODUCTS,MAGNETS
"INDUCTOR SUPPLY, INC.","5362 OCEANUS DRIVE, HUNTINGTON BEACH, CA, 92649",-3.885,-108.275,ELECTRONIC MAGNETIC INDUCTORS,ELECTRONICS
"CORONA MAGNETICS, INC.","201 CORPORATE TERRACE, CORONA, CA, 92879",-3.859,-107.884,ELECTROMAGNETIC COMPONENTS,MAGNETS
ELECTRONETICS,"1320 75TH STREET SW, EVERETT, WA, 98203",9.707,-107.769,INDUSTRIAL MAGNETIC COMPONENTS,MAGNETS
"POWER CONVERSION, INC.","19501 144TH AVENUE NE, WOODINVILLE, WA, 98072",9.546,-107.743,MAGNETIC COMPONENTS,MAGNETS
"HIREL SYSTEMS, LLC","604 WEST ERIE ROAD, MARSHALL, MN, 56258",4.48,-91.364,ELECTRICAL TRANSFORMERS,TRANSFORMERS
"HIREL SYSTEMS, LLC","604 WEST ERIE ROAD, MARSHALL, MN, 56258",4.48,-91.364,MAGNETIC COMPOUNDS,MAGNETS
NICOLLET TECHNOLOGIES CORP.,"711 15TH AVENUE NE, MINNEAPOLIS, MN, 55413",5.051,-89.672,ELECTRICAL TRANSFORMERS,TRANSFORMERS
"SPECTRA-MAT, INC.","100 WESTGATE DRIVE, WATSONVILLE, CA, 95076",-0.303,-110.055,THERMAL MAGNETIC MATERIAL,MAGNETS
SANTRONICS,"1240 BIRCHWOOD DRIVE, SUNNYVALE, CA, 94089",0.164,-110.064,CUSTOM ELECTRONIC MAGNETIC COMPONENTS,ELECTRONICS
SANTRONICS,"1240 BIRCHWOOD DRIVE, SUNNYVALE, CA, 94089",0.164,-110.064,INCLUDING TRANSFORMERS,TRANSFORMERS
SANTRONICS,"1240 BIRCHWOOD DRIVE, SUNNYVALE, CA, 94089",0.164,-110.064,POWER CONVERSION,CONVERSION
"VANGUARD ELECTRONICS CO., INC.","7412 PRINCE DRIVE, HUNTINGTON BEACH, CA, 92647",-3.914,-108.255,ELECTROMAGNETIC INDUCTORS,MAGNETS
"VANGUARD ELECTRONICS CO., INC.","7412 PRINCE DRIVE, HUNTINGTON BEACH, CA, 92647",-3.914,-108.255,TRANSFORMERS,TRANSFORMERS
ENECON CORP.,"700 HICKSVILLE ROAD, BETHPAGE, NY, 11714",2.683,-75.671,MAGNETIC COMPONENTS,MAGNETS
"OXFORD INSTRUMENTS AMERICA, INC.","300 BAKER AVENUE, CONCORD, MA, 01742",4.677,-74.668,BENCHTOP NUCLEAR MAGNETIC RESONANCE ANALYZERS FOR FOOD,MAGNETS
"PERFORMANCE CONTROLS, INC.","151 DOMORAH DRIVE, MONTGOMERYVILLE, PA, 18936",1.903,-76.738,BRIDGES FOR MAGNETIC RESONANCE IMAGING,MAGNETS
KELYTECH CORP.,"1482 GLADDING COURT, MILPITAS, CA, 95035",0.149,-109.993,MAGNETIC PRODUCTS,MAGNETS
"STEREOTAXIS, INC.","4320 FOREST PARK AVENUE, SAINT LOUIS, MO, 63108",-1.235,-87.265,MAGNETIC THERAPEUTIC MEDICAL EQUIPMENT,MAGNETS
GE HEALTHCARE COILS,"1515 DANNER DRIVE, AURORA, OH, 44202",2.112,-81.168,MAGNETIC RESONANCE IMAGING,MAGNETS
"AVOTEC, INC.","603 NW BUCK HENDRY WAY, STUART, FL, 34994",-11.495,-77.858,MAGNETIC RESONANCE IMAGING ACCESSORIES,MAGNETS
"CHARLESTON ENTERPRISES, INC.","510 WEST ASHLEY AVENUE, FOLLY BEACH, SC, 29439",-6.171,-78.67,THERAPEUTIC MAGNET KITS,MAGNETS
