name,facility_a,Latitude,longitude,Manufacturing_Products,associated_product_type
FERROTEC (USA) CORPORATION,"33 CONSTITUTION DRIVE, BEDFORD, NH, 03110",5.127,-74.862,MAGNETIC FLUID,MAGNETS
"TECMAG, INC.","10161 HARWIN DRIVE, HOUSTON, TX, 77036",-10.291,-91.175,MAGNETIC RESONANCE EQUIPMENT,MAGNETS
VANGUARD ID SYSTEMS,"1210 AMERICAN BOULEVARD, WEST CHESTER, PA, 19380",1.626,-76.933,MAGNETIC STRIPE,MAGNETS
THERMOTION CORP.,"9330 PROGRESS PARKWAY, MENTOR, OH, 44060",2.545,-81.218,C-FACE MAGNETIC RING ENCODERS,MAGNETS
"METUCHEN CAPACITORS, INC.","2139 NJ 35, HOLMDEL, NJ, 07733",2.259,-76.045,MAGNETICS,MAGNETS
ELECTRONIC COILS,"53 MAINLINE DRIVE, WESTFIELD, MA, 01085",4.119,-75.474,CUSTOM ELECTROMAGNETIC COMPONENTS,MAGNETS
ELECTRONIC COILS,"53 MAINLINE DRIVE, WESTFIELD, MA, 01085",4.119,-75.474,INCLUDING TRANSFORMERS,TRANSFORMERS
XENSOR CORP.,"4000 BRIDGE STREET, DREXEL HILL, PA, 19026",1.612,-76.722,ELECTROMAGNETIC,MAGNETS
"TRI-TECH, LLC","56733 MAGNETIC DRIVE, MISHAWAKA, IN, 46545",2.056,-84.567,ELECTROMAGNETIC ACTUATORS,MAGNETS
WORLD MAGNETICS CO.,"810 HASTINGS STREET, TRAVERSE CITY, MI, 49686",5.173,-84.536,VACUUM SWITCHES,SWITCHES
WORLD MAGNETICS CO.,"810 HASTINGS STREET, TRAVERSE CITY, MI, 49686",5.173,-84.536,MAGNETIC READ,MAGNETS
SUMITOMO ELECTRIC WIRING SYSTEMS (H Q),"1018 ASHLEY STREET, BOWLING GREEN, KY, 42103",-2.661,-84.283,MAGNETIC AUTOMOTIVE WIRE,MAGNETS
STANDEX ELECTRONICS,"4538 CAMBERWELL ROAD, CINCINNATI, OH, 45209",-0.302,-83.058,MAGNETICS,MAGNETS
"HISONIC, INC.","310 NORTH MARION STREET, OLATHE, KS, 66061",-1.112,-90.635,MAGNETIC AIRCRAFT COMPONENTS,AIRCRAFT
"TOROTEL PRODUCTS, INC.","620 NORTH LINDENWOOD DRIVE, OLATHE, KS, 66062",-1.107,-90.6,MAGNETIC ELECTRONIC COMPONENTS,ELECTRONICS
"HERMETIC SWITCH, INC.","3100 NORGE ROAD, CHICKASHA, OK, 73018",-4.954,-93.035,MAGNETICALLY OPERATED REED SWITCHES,MAGNETS
ITC SYSTEMS,"800 FEE FEE ROAD, MARYLAND HEIGHTS, MO, 63043",-1.175,-87.407,MAGNETIC CARD SYSTEMS,MAGNETS
MAGNET SCHULTZ OF AMERICA,"401 PLAZA DRIVE, WESTMONT, IL, 60559",2.071,-85.866,ELECTRO-MAGNETIC DEVICES,MAGNETS
"WARNER ELECTRIC, LLC","802 EAST SHORT STREET, COLUMBIA CITY, IN, 46725",1.588,-84.052,ELECTROMAGNETIC COIL ASSEMBLIES,MAGNETS
AJAX TOCCO MAGNETHERMIC CORP.,"8984 MERIDIAN CIRCLE NW, NORTH CANTON, OH, 44720",1.747,-81.17,ELECTRIC LIFTING MAGNETS,MAGNETS
"MAGNETECH INDUSTRIAL SERVICES, INC.","821 BEV ROAD, BOARDMAN, OH, 44512",1.912,-80.64,INDUSTRIAL ELECTROMAGNETS,MAGNETS
"BEL FUSE, INC. (H Q)","206 VAN VORST STREET, JERSEY CITY, NJ, 07302",2.565,-76.035,TELECOMMUNICATION MAGNETIC,COMMUNICATIONS
"DYKE'S ELECTRIC, INC.","3028 POLE LINE ROAD, POCATELLO, ID, 83201",3.789,-102.624,ELECTRIC MOTORS,MOTORS
"DYKE'S ELECTRIC, INC.","3028 POLE LINE ROAD, POCATELLO, ID, 83201",3.789,-102.624,MAGNETS,MAGNETS
ALGONQUIN INDUSTRIES,"1800 US HIGHWAY 61 SOUTH, OSCEOLA, AR, 72370",-4.173,-86.871,COPPER MAGNET WIRE,MAGNETS
ALGONQUIN INDUSTRIES,"1800 US HIGHWAY 61 SOUTH, OSCEOLA, AR, 72370",-4.173,-86.871,TRANSFORMER LEAD CABLES,ELECTRONICS
"LOR MFG. CO., INC.","7131 WEST DREW ROAD, WEIDMAN, MI, 48893",4.13,-84.006,MAGNETS,MAGNETS
"ESSEX GROUP, INC.","3200 ESSEX DRIVE, FRANKLIN, IN, 46131",-0.082,-84.291,MAGNET WIRE,MAGNETS
"HYPER TECH RESEARCH, INC.","1275 KINNEAR ROAD, COLUMBUS, OH, 43212",0.665,-82.183,CUSTOM MGB2 MAGNET COILS,MAGNETS
HANOVER MFG. CORP.,"10117 LEADBETTER PLACE, ASHLAND, VA, 23005",-0.886,-77.776,MAGNET WIRES,MAGNETS
"ANGSTROM SCIENCES, INC.","40 SOUTH LINDEN STREET, DUQUESNE, PA, 15110",1.397,-79.981,MAGNETRON SPUTTERING CATHODES,MAGNETS
"ADVANCED MICROSENSORS, INC.","333 SOUTH STREET, SHREWSBURY, MA, 01545",4.448,-74.826,THIN FILM MAGNETIC MICROCOMPONENTS,MAGNETS
"ADVANCED MICROSENSORS, INC.","333 SOUTH STREET, SHREWSBURY, MA, 01545",4.448,-74.826,MICROCHIPS,MICROCHIPS
L-3 COMMUNICATIONS ELECTRON DEVICES,"1035 WESTMINSTER DRIVE, WILLIAMSPORT, PA, 17701",2.639,-78.145,MAGNETRONS,MAGNETS
"FISCHER TECHNOLOGY, INC.","750 MARSHALL PHELPS ROAD, WINDSOR, CT, 06095",3.894,-75.388,MAGNETIC INDUCTION,MAGNETS
HONEYWELL SENSING & CONTROL,"1845 57TH STREET, SARASOTA, FL, 34243",-11.707,-79.828,MAGNETIC SENSORS,MAGNETS
QUALITY MAGNETICS CORP.,"1954 EAST GLADWICK STREET, COMPTON, CA, 90220",-3.746,-108.387,DEFENSE MAGNETIC RADAR EQUIPMENT,MAGNETS
SCHONSTEDT INSTRUMENT COMPANY,"100 EDMOND ROAD, KEARNEYSVILLE, WV, 25430",0.67,-78.399,MAGNETIC PIPE,MAGNETS
SCHONSTEDT INSTRUMENT COMPANY,"100 EDMOND ROAD, KEARNEYSVILLE, WV, 25430",0.67,-78.399,CONSTRUCTION CONTRACTORS,CONSTRUCTION
"RITCHIE & SONS, INC., E. S.","243 OAK STREET, PEMBROKE, MA, 02359",4.445,-74.167,MAGNETIC COMPASSES FOR RECREATIONAL,MAGNETS
NVE CORP.,"11409 VALLEY VIEW ROAD, EDEN PRAIRIE, MN, 55344",4.91,-89.781,MAGNETIC SENSORS,MAGNETS
SCI ENGINEERED MATERIALS,"2839 CHARTER STREET, COLUMBUS, OH, 43228",0.667,-82.251,SPUTTERING TARGETS USED TO PRODUCE THIN FILM COATINGS FOR MAGNETIC MEDIA,MAGNETS
SCI ENGINEERED MATERIALS,"2839 CHARTER STREET, COLUMBUS, OH, 43228",0.667,-82.251,SEMICONDUCTORS,SEMICONDUCTORS
"NATIONAL MAGNETICS GROUP, INC.","1210 WIN DRIVE, BETHLEHEM, PA, 18017",2.273,-76.913,PERMANENT MAGNETS,MAGNETS
PLASTI-CARD CORP.,"1820 NE 150TH STREET, NORTH MIAMI, FL, 33181",-12.747,-77.501,MAGNETS,MAGNETS
IDENTITY PLUS,"1120-B HOOVER AVENUE, NATIONAL CITY, CA, 91950",-5.034,-107.872,MAGNETS,MAGNETS
MAGNETIC TICKET & LABEL CORP.,"8719 DIPLOMACY ROW, DALLAS, TX, 75247",-7.18,-92.238,MAGNETIC TICKETS,MAGNETS
"FINN GRAPHICS, INC.","220 STILLE DRIVE, CINCINNATI, OH, 45233",-0.391,-83.214,MAGNETS,MAGNETS
"FESTIVALS & MORE, INC.","200 WESTGATE DRIVE, HOUSTON, MN, 55943",3.852,-88.491,FLEXIBLE MAGNETS,MAGNETS
"DURA MAGNETICS, INC.","5500 SCHULTZ DRIVE, SYLVANIA, OH, 43560",2.307,-82.864,MAGNETS,MAGNETS
"THOMAS & SKINNER, INC.","1120 EAST 23RD STREET, INDIANAPOLIS, IN, 46205",0.188,-84.374,SINTERED PERMANENT MAGNETS,MAGNETS
"THOMAS & SKINNER, INC.","1120 EAST 23RD STREET, INDIANAPOLIS, IN, 46205",0.188,-84.374,TRANSFORMER LAMINATIONS,TRANSFORMERS
"FLEXMAG INDUSTRIES, INC.","107 INDUSTRY ROAD, MARIETTA, OH, 45750",0.281,-80.942,FLEXIBLE PERMANENT MAGNETS,MAGNETS
"FERRONICS, INC.","45 OCONNOR ROAD, FAIRPORT, NY, 14450",4.379,-78.843,CERAMIC MAGNETIC MATERIALS,MAGNETS
ARNOLD MAGNETIC TECHNOLOGIES,"770 LINDEN AVENUE, ROCHESTER, NY, 14625",4.388,-78.877,MAGNETS,MAGNETS
ARNOLD MAGNETIC TECHNOLOGIES,"770 LINDEN AVENUE, ROCHESTER, NY, 14625",4.388,-78.877,PRECISION MAGNETIC ASSEMBLIES,MAGNETS
TARTAN ORTHOPEDICS LTD.,"10651 IRMA DRIVE, NORTHGLENN, CO, 80233",0.205,-97.893,MAGNETIC SUPPORTS,MAGNETS
"ESSEX GROUP, INC.","1601 WALL STREET, FORT WAYNE, IN, 46802",1.534,-83.818,MAGNETIC WIRE,MAGNETS
"GSR MAGNETITE, INC.","8405 AIRLINE HIGHWAY, BATON ROUGE, LA, 70815",-9.466,-87.455,MAGNETIC WINDOW INSULATORS,MAGNETS
